,feature,importance
166,fucking,0.157
164,fuck,0.127
21,ass,0.038
209,idiot,0.036
39,bitch,0.03
501,lat,0.028
294,nigga,0.024
500,lon,0.023
389,shit,0.023
192,hell,0.02
291,new,0.019
96,damn,0.011
295,niggas,0.01
165,fucked,0.01
422,stop,0.009
54,buy,0.009
222,kill,0.009
103,deserve,0.008
13,amp,0.008
17,april,0.008
390,shitty,0.008
471,want,0.007
198,hoe,0.007
80,comment,0.007
452,trend,0.007
23,asshole,0.007
22,assad,0.007
434,sweet,0.007
462,visit,0.006
405,song,0.006
110,disgusting,0.005
392,shot,0.005
210,idk,0.005
201,home,0.005
229,lake,0.005
181,green,0.005
240,let,0.005
117,dude,0.005
454,trump,0.005
218,join,0.005
238,learn,0.004
221,kid,0.004
126,event,0.004
214,interview,0.004
144,fight,0.004
98,date,0.004
169,funny,0.004
160,free,0.004
152,flight,0.004
269,meet,0.004
464,volunteer,0.004
426,stupid,0.004
44,blog,0.004
356,remind,0.004
46,boo,0.004
48,boy,0.004
300,obama,0.004
474,wear,0.004
418,start,0.003
429,summer,0.003
29,baby,0.003
167,fun,0.003
145,figure,0.003
104,design,0.003
120,eat,0.003
448,today,0.003
385,send,0.003
206,house,0.003
246,like,0.003
329,pizza,0.003
225,know,0.003
115,drive,0.003
310,opportunity,0.003
312,order,0.003
482,win,0.003
465,vote,0.002
121,email,0.002
431,support,0.002
450,tonight,0.002
116,drop,0.002
131,face,0.002
138,fan,0.002
451,traffic,0.002
140,favorite,0.002
109,discuss,0.002
107,difference,0.002
475,weather,0.002
146,film,0.002
486,word,0.002
262,mad,0.002
257,look,0.002
309,opinion,0.002
243,lie,0.002
328,piss,0.002
394,sick,0.002
189,hate,0.002
163,friend,0.002
395,sign,0.002
173,gift,0.002
172,gay,0.002
494,yall,0.002
416,standard,0.002
497,year,0.002
414,spring,0.002
251,listen,0.002
11,america,0.002
82,complete,0.002
68,chicken,0.002
75,clear,0.002
95,dad,0.002
20,ask,0.002
35,bed,0.002
177,god,0.001
435,syria,0.001
185,hang,0.001
184,guy,0.001
182,group,0.001
441,tell,0.001
272,min,0.001
459,understand,0.001
283,mph,0.001
348,ready,0.001
433,swear,0.001
76,close,0.001
447,time,0.001
359,resist,0.001
349,real,0.001
280,month,0.001
444,thing,0.001
321,people,0.001
430,sunday,0.001
379,score,0.001
60,cause,0.001
397,site,0.001
230,lame,0.001
398,sleep,0.001
228,lag,0.001
388,share,0.001
386,service,0.001
409,south,0.001
320,pay,0.001
290,need,0.001
253,little,0.001
30,bad,0.001
28,awesome,0.001
419,state,0.001
202,hope,0.001
259,lot,0.001
260,louis,0.001
261,love,0.001
428,suck,0.001
170,game,0.001
150,fire,0.001
337,post,0.001
90,crazy,0.001
136,fall,0.001
135,fake,0.001
341,probably,0.001
132,facebook,0.001
479,west,0.001
466,wait,0.001
6,ago,0.001
142,feel,0.001
485,woman,0.001
332,plan,0.001
307,open,0.001
119,easy,0.001
331,place,0.001
314,page,0.001
322,perfect,0.001
472,watch,0.001
234,law,0.001
468,walk,0.001
9,allow,0.001
87,country,0.001
393,shut,0.0
383,self,0.0
333,play,0.0
377,scandal,0.0
353,red,0.0
352,record,0.0
351,reason,0.0
378,school,0.0
330,pkwy,0.0
380,season,0.0
381,second,0.0
41,blast,0.0
382,security,0.0
384,sell,0.0
376,save,0.0
38,birthday,0.0
42,bless,0.0
387,set,0.0
327,picture,0.0
37,big,0.0
36,believe,0.0
391,shoe,0.0
326,pick,0.0
350,realize,0.0
325,photo,0.0
324,phone,0.0
323,person,0.0
347,read,0.0
334,point,0.0
374,san,0.0
375,saturday,0.0
344,race,0.0
361,ride,0.0
362,right,0.0
343,public,0.0
360,rid,0.0
342,project,0.0
363,ring,0.0
364,rip,0.0
358,request,0.0
365,rise,0.0
357,report,0.0
340,pretty,0.0
366,road,0.0
367,rob,0.0
368,rock,0.0
40,black,0.0
339,ppl,0.0
345,rain,0.0
369,role,0.0
338,power,0.0
371,round,0.0
355,remember,0.0
372,run,0.0
354,remain,0.0
336,portland,0.0
335,police,0.0
373,sad,0.0
